window_key,window_label,LCLid,stdorToU,adf_statistic,p_value,failed_adf
pre_2011_2012,2011-2012 pre-drift,MAC004965,ToU,-11.99918976093192,3.3777622673488937e-22,False
pre_2011_2012,2011-2012 pre-drift,MAC005022,ToU,-6.229973930679155,4.9808818623744575e-08,False
pre_2011_2012,2011-2012 pre-drift,MAC005069,ToU,-13.291443189318422,7.349045002727049e-25,False
pre_2011_2012,2011-2012 pre-drift,MAC005070,ToU,-2.4392610052280563,0.13096042580960798,True
pre_2011_2012,2011-2012 pre-drift,MAC005080,ToU,-5.618109054653434,1.1617907508343632e-06,False
pre_2011_2012,2011-2012 pre-drift,MAC005083,ToU,-5.26782705750631,6.381555342567654e-06,False
pre_2011_2012,2011-2012 pre-drift,MAC005124,ToU,-4.256919668777107,0.0005270282043367641,False
pre_2011_2012,2011-2012 pre-drift,MAC005162,ToU,-6.3977056617334656,2.031413789852147e-08,False
pre_2011_2012,2011-2012 pre-drift,MAC005250,ToU,-4.496851496148606,0.00019923189972730917,False
pre_2011_2012,2011-2012 pre-drift,MAC005321,ToU,-11.640358845107464,2.15434343469896e-21,False
pre_2011_2012,2011-2012 pre-drift,MAC005341,ToU,-5.11762831578735,1.2918783171451182e-05,False
pre_2011_2012,2011-2012 pre-drift,MAC005429,ToU,-8.882512404091727,1.3063648030739363e-14,False
pre_2011_2012,2011-2012 pre-drift,MAC005449,ToU,-3.304480256141262,0.014679390863999563,False
pre_2011_2012,2011-2012 pre-drift,MAC005498,ToU,-7.990456932607255,2.4825546349762825e-12,False
pre_2011_2012,2011-2012 pre-drift,MAC005537,ToU,-6.2760745612323205,3.897797753244792e-08,False
pre_2011_2012,2011-2012 pre-drift,MAC005538,ToU,-4.033909654201311,0.001242996790463323,False
drift_2013,2013 tariff-shift period,MAC000037,Std,-92.54855806457033,0.0,False
drift_2013,2013 tariff-shift period,MAC000055,Std,-14.681295483170855,3.153073220982393e-27,False
drift_2013,2013 tariff-shift period,MAC000112,Std,-9.977045542343781,2.1637479536162542e-17,False
drift_2013,2013 tariff-shift period,MAC000132,Std,-11.73189901222698,1.335527902577182e-21,False
drift_2013,2013 tariff-shift period,MAC000244,Std,-13.223486194519037,9.908676374078994e-25,False
drift_2013,2013 tariff-shift period,MAC000281,Std,-12.963766522935657,3.1849681652172965e-24,False
drift_2013,2013 tariff-shift period,MAC000291,Std,-8.41106816628768,2.1031745450376854e-13,False
drift_2013,2013 tariff-shift period,MAC000437,Std,-9.751889167338538,7.975191468279006e-17,False
drift_2013,2013 tariff-shift period,MAC000649,Std,-13.89844386663867,5.793456786054209e-26,False
drift_2013,2013 tariff-shift period,MAC000730,Std,-16.70542252123586,1.4494136487840002e-29,False
drift_2013,2013 tariff-shift period,MAC000734,Std,-7.342579240815925,1.0557056534621209e-10,False
drift_2013,2013 tariff-shift period,MAC000823,Std,-15.417197151011493,3.068196576537291e-28,False
drift_2013,2013 tariff-shift period,MAC000846,Std,-16.941842410943003,9.604371220582092e-30,False
drift_2013,2013 tariff-shift period,MAC000854,Std,-8.08510393691043,1.426827058058628e-12,False
drift_2013,2013 tariff-shift period,MAC000934,Std,-12.124843971778521,1.7905253506781107e-22,False
drift_2013,2013 tariff-shift period,MAC000981,Std,-16.693177261482,1.482540076581939e-29,False
drift_2013,2013 tariff-shift period,MAC000989,Std,-10.036503871298917,1.5356725581210102e-17,False
drift_2013,2013 tariff-shift period,MAC001486,Std,-11.131681911519177,3.270278040277766e-20,False
drift_2013,2013 tariff-shift period,MAC001531,Std,-11.308166981518887,1.2581376954568183e-20,False
drift_2013,2013 tariff-shift period,MAC001684,Std,-14.136779065303118,2.2827524802748156e-26,False
drift_2013,2013 tariff-shift period,MAC001689,Std,-8.205572460570018,7.039856093782903e-13,False
drift_2013,2013 tariff-shift period,MAC001843,Std,-12.710829035705903,1.0310493719801037e-23,False
drift_2013,2013 tariff-shift period,MAC001877,Std,-10.290600915628241,3.578517054308041e-18,False
drift_2013,2013 tariff-shift period,MAC001882,Std,-7.666394445967391,1.6368673657733918e-11,False
drift_2013,2013 tariff-shift period,MAC001903,Std,-14.644845808005089,3.5760926358922106e-27,False
drift_2013,2013 tariff-shift period,MAC001980,Std,-9.496850495403415,3.530102273328151e-16,False
drift_2013,2013 tariff-shift period,MAC002071,Std,-15.514871648620748,2.3232645444102075e-28,False
drift_2013,2013 tariff-shift period,MAC002191,Std,-15.791760978602907,1.100066505272989e-28,False
drift_2013,2013 tariff-shift period,MAC002244,Std,-11.349750179560385,1.0063088931110067e-20,False
