method,round,node_id,node_type,relative_change_pct,eligible_for_selective_retraining,raw_triggered,triggered
FLAST,4,node_tou_4,ToU,3.051046121102045,True,False,False
FLAST,4,node_tou_5,ToU,1.4604042323274873,True,False,False
FLAST,4,node_tou_6,ToU,8.55511504810698,True,True,True
FLAST,5,node_std_0,Std,5.948231385691642,False,True,False
FLAST,5,node_std_1,Std,7.395446900134162,False,True,False
FLAST,5,node_std_2,Std,-1.9303693619264088,False,False,False
FLAST,5,node_tou_0,ToU,-24.80765952877085,True,False,False
FLAST,5,node_tou_1,ToU,7.65826681615887,True,True,True
FLAST,5,node_tou_2,ToU,-3.842998673817007,True,False,False
FLAST,5,node_tou_3,ToU,-11.352001257175022,True,False,False
FLAST,5,node_tou_4,ToU,7.72103876411514,True,True,True
FLAST,5,node_tou_5,ToU,7.589335929770715,True,True,True
FLAST,5,node_tou_6,ToU,12.077793107073962,True,True,True
FLAST,6,node_std_0,Std,15.87099267120655,False,True,False
FLAST,6,node_std_1,Std,0.10571309572287486,False,False,False
FLAST,6,node_std_2,Std,-2.6989076848370046,False,False,False
FLAST,6,node_tou_0,ToU,-31.456513105182626,True,False,False
FLAST,6,node_tou_1,ToU,12.169816633832427,True,True,True
FLAST,6,node_tou_2,ToU,-5.507665441329538,True,False,False
FLAST,6,node_tou_3,ToU,-11.42739163657677,True,False,False
FLAST,6,node_tou_4,ToU,8.621192124628706,True,True,True
FLAST,6,node_tou_5,ToU,5.54863094380335,True,True,True
FLAST,6,node_tou_6,ToU,12.216811488106952,True,True,True
FLAST,7,node_std_0,Std,12.473331078055129,False,True,False
FLAST,7,node_std_1,Std,4.222058918510014,False,False,False
FLAST,7,node_std_2,Std,-1.6052209009025198,False,False,False
FLAST,7,node_tou_0,ToU,-30.214783628147057,True,False,False
FLAST,7,node_tou_1,ToU,6.839114733405503,True,True,True
FLAST,7,node_tou_2,ToU,-6.0843091040194865,True,False,False
FLAST,7,node_tou_3,ToU,-12.431590703887043,True,False,False
FLAST,7,node_tou_4,ToU,2.9540449974400937,True,False,False
FLAST,7,node_tou_5,ToU,1.5524681262222968,True,False,False
FLAST,7,node_tou_6,ToU,11.734496726205355,True,True,True
FLAST,8,node_std_0,Std,7.969826279505411,False,True,False
FLAST,8,node_std_1,Std,11.468560758142578,False,True,False
FLAST,8,node_std_2,Std,-14.442592606432935,False,False,False
FLAST,8,node_tou_0,ToU,-23.80250850822984,True,False,False
FLAST,8,node_tou_1,ToU,5.1139879037837845,True,True,True
FLAST,8,node_tou_2,ToU,-2.0335201012489934,True,False,False
FLAST,8,node_tou_3,ToU,-10.857597155938365,True,False,False
FLAST,8,node_tou_4,ToU,5.179657170809594,True,True,True
FLAST,8,node_tou_5,ToU,5.700094221768538,True,True,True
FLAST,8,node_tou_6,ToU,-1.006548176042011,True,False,False
FLAST,9,node_std_0,Std,13.778451699452246,False,True,False
FLAST,9,node_std_1,Std,-3.652999119626604,False,False,False
FLAST,9,node_std_2,Std,-6.217348517971552,False,False,False
FLAST,9,node_tou_0,ToU,-22.076571723536567,True,False,False
FLAST,9,node_tou_1,ToU,5.670005931772934,True,True,True
FLAST,9,node_tou_2,ToU,0.8972107778790477,True,False,False
FLAST,9,node_tou_3,ToU,-18.146111125236295,True,False,False
FLAST,9,node_tou_4,ToU,-0.007112202647204513,True,False,False
FLAST,9,node_tou_5,ToU,11.390345951587435,True,True,True
FLAST,9,node_tou_6,ToU,6.385687090341199,True,True,True
FLAST,10,node_std_0,Std,1.7556011947834411,False,False,False
FLAST,10,node_std_1,Std,-0.3613530012451171,False,False,False
FLAST,10,node_std_2,Std,-2.191525759043819,False,False,False
FLAST,10,node_tou_0,ToU,-17.93106606028294,True,False,False
FLAST,10,node_tou_1,ToU,-4.550535663193499,True,False,False
FLAST,10,node_tou_2,ToU,-5.814274065000926,True,False,False
FLAST,10,node_tou_3,ToU,-12.593485105488918,True,False,False
FLAST,10,node_tou_4,ToU,7.064902885294878,True,True,True
FLAST,10,node_tou_5,ToU,12.871696458143608,True,True,True
FLAST,10,node_tou_6,ToU,12.33463144408618,True,True,True
