LCLid,stdorToU,window_key,window_label,observed_hours_before_fill,expected_hours,raw_missing_rate,filled_missing_rate
MAC004258,ToU,post_2014,2014 post-drift (Jan-Feb only),1296,1416,0.0847457627118644,0.0
MAC004331,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004374,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004396,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004400,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004408,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004506,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC004525,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004606,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004709,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC004751,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004762,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC004821,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004827,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004851,ToU,post_2014,2014 post-drift (Jan-Feb only),1296,1416,0.0847457627118644,0.0
MAC004965,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC005022,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC005069,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC005070,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC005080,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC005083,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC005124,ToU,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC005162,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC005250,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC005321,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC005341,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC005429,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC005449,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC005498,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC005537,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC005538,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
