LCLid,pre_2011_2012_days,drift_2013_days,post_2014_days
MAC000884,249,365,59
MAC000885,249,365,59
MAC000886,249,365,59
MAC000887,249,365,59
MAC000888,248,365,59
MAC000889,248,365,59
MAC000890,249,365,59
MAC000891,248,365,59
MAC000892,249,365,59
MAC000893,249,365,59
MAC000894,248,365,59
MAC000895,249,365,59
MAC000896,249,365,59
MAC000897,249,365,59
MAC000898,249,106,0
MAC000899,249,365,59
MAC000900,249,365,59
MAC000901,249,365,59
MAC000902,249,365,59
MAC000903,249,365,59
MAC000904,249,365,59
MAC000905,249,365,59
MAC000906,248,365,59
MAC000907,248,365,59
MAC000908,249,365,59
MAC000909,249,365,59
MAC000910,249,365,59
MAC000911,248,365,59
MAC000912,249,343,0
MAC000913,249,365,59
MAC000914,249,365,59
MAC000915,249,365,59
MAC000916,249,365,59
MAC000917,249,365,59
MAC000918,249,365,59
MAC000919,248,365,59
MAC000920,248,365,53
MAC000921,247,365,59
MAC000922,249,365,59
MAC000923,249,364,58
MAC000924,249,365,59
MAC000925,245,184,0
MAC000926,245,365,59
MAC000927,245,365,59
MAC000928,245,365,59
MAC000929,245,365,59
MAC000930,245,365,59
MAC000931,245,365,59
MAC000932,245,99,0
MAC000933,243,350,59
MAC000934,245,365,59
MAC000935,245,365,59
MAC000936,245,365,59
MAC000937,245,365,59
MAC000938,244,365,59
MAC000939,245,365,59
MAC000940,242,364,59
MAC000941,245,365,59
MAC000942,245,365,59
MAC000943,245,365,59
MAC000944,244,365,59
MAC000945,245,365,59
MAC000946,245,273,0
MAC000947,245,365,59
MAC000948,245,365,59
MAC000949,245,365,59
MAC000950,245,365,59
MAC000951,151,145,0
MAC000952,242,365,45
MAC000953,245,365,59
MAC000954,245,365,59
MAC000955,245,365,59
MAC000956,244,365,59
MAC000957,245,365,59
MAC000958,245,365,59
MAC000959,244,352,59
MAC000960,245,343,0
MAC000961,245,365,59
MAC000962,245,365,59
MAC000963,244,365,59
MAC000964,245,365,45
MAC000965,244,365,59
MAC000966,245,365,59
MAC000967,245,365,59
MAC000968,245,365,59
MAC000969,245,365,59
MAC000970,244,365,59
MAC000971,245,365,59
MAC000972,242,365,59
MAC000973,244,365,59
MAC000974,244,365,59
MAC000975,244,365,59
MAC000976,244,365,59
MAC000977,244,127,0
MAC000978,244,157,0
MAC000979,244,365,59
MAC000980,243,356,59
MAC000981,244,365,59
MAC000982,244,365,59
MAC000983,244,185,0
MAC000984,243,365,59
MAC000985,244,365,59
MAC000986,244,365,59
MAC000987,244,365,59
MAC000988,243,94,0
MAC000989,243,365,59
MAC000990,244,365,59
MAC000991,244,365,59
MAC000992,244,365,59
MAC000993,243,365,59
MAC000994,244,365,59
MAC000995,244,365,59
MAC000996,242,365,59
MAC000997,244,365,59
MAC000998,244,365,10
MAC000999,244,365,59
MAC001000,244,365,59
MAC001001,244,365,59
MAC001002,243,365,59
MAC001003,244,365,59
MAC001004,242,365,59
MAC001005,244,86,0
MAC001006,244,365,59
MAC001007,244,365,59
MAC001008,244,365,59
MAC001009,244,365,59
MAC001010,244,365,59
MAC001011,241,228,0
MAC001012,241,365,59
MAC001013,244,365,59
MAC001014,244,365,59
MAC001015,244,365,59
MAC001016,244,365,59
MAC001017,243,365,59
MAC001018,244,365,59
MAC001019,244,365,59
MAC001020,244,365,27
MAC001021,244,365,59
