LCLid,stdorToU,Acorn,Acorn_grouped,file,pre_2011_2012_days,drift_2013_days,post_2014_days,pre_mean,pre_std,drift_mean,drift_std,mean_shift_pct,std_shift_pct,shift_score
MAC000935,ToU,ACORN-E,Affluent,block_17,245,365,59,0.09107843814830893,0.03571775830381229,0.06150804794520543,0.022054421508492045,32.46694915315974,38.2536235311887,70.72057268434844
MAC000937,ToU,ACORN-P,Adversity,block_92,245,365,59,0.04561754971219252,0.014177567821722132,0.05002614155821914,0.020931434972876906,9.664245172835981,47.637699470616184,57.30194464345217
MAC000939,ToU,ACORN-E,Affluent,block_17,245,365,59,0.1979876962761643,0.07929443359471536,0.292372193148631,0.15568822689527756,47.67190014717577,96.34193705326312,144.0138372004389
MAC000945,ToU,ACORN-E,Affluent,block_17,245,365,59,0.14481213235024706,0.048347925017036435,0.17387608327188378,0.07187473798569965,20.070107697428107,48.66147401439264,68.73158171182075
MAC000985,ToU,ACORN-D,Affluent,block_10,244,365,59,1.3011019371515666,0.4733848786328736,1.357219628682357,0.7301073886657279,4.313089538060781,54.23124430469007,58.54433384275085
MAC001012,ToU,ACORN-G,Comfortable,block_58,241,365,59,0.04450223087902058,0.014187322470626648,0.044429300252598815,0.03577456660693453,0.16388083244642168,152.15869083826067,152.32257167070708
MAC001030,ToU,ACORN-E,Affluent,block_17,243,365,59,0.038742767864960496,0.006483036876766347,0.0512385261771349,0.04702986631833722,32.253137813304605,625.4295666106884,657.6827044239931
MAC001091,ToU,ACORN-H,Comfortable,block_61,238,365,59,0.19212493853924548,0.040978139212451775,0.11774923491693381,0.09339965833206086,38.7121548029117,127.92557233462685,166.63772713753855
MAC001105,ToU,ACORN-E,Affluent,block_27,238,365,59,0.1373112927956482,0.03778067923382345,0.11448501893349847,0.05741942300791259,16.62374113403814,51.98091768690966,68.6046588209478
MAC001110,ToU,ACORN-E,Affluent,block_42,238,365,59,0.20880638832442064,0.23893713739280678,0.37843881197196066,0.3811448635959715,81.23909666211152,59.516794984188124,140.75589164629963
MAC001143,ToU,ACORN-E,Affluent,block_41,237,365,59,0.16055889350861446,0.057863454157376225,0.14454859290674008,0.031058846805900122,9.971606213775624,46.323897772458075,56.2955039862337
MAC001182,ToU,ACORN-E,Affluent,block_43,237,365,50,0.13842158342393626,0.04705594405064462,0.08692649655212632,0.05781494501748569,37.20163113154019,22.864276094985033,60.065907226525226
MAC001228,ToU,ACORN-F,Comfortable,block_55,232,365,59,0.0830245453478648,0.019289698596545335,0.09207651775537716,0.029395463197270776,10.902766609061784,52.38943755469212,63.29220416375391
MAC001318,ToU,ACORN-Q,Adversity,block_105,230,363,59,0.11287238500315057,0.00899468899790791,0.13927509867131171,0.04174925001458541,23.39165037349408,364.15445852876,387.5461089022541
MAC001372,ToU,ACORN-F,Comfortable,block_54,229,365,59,0.04618295046300594,0.01081689452528716,0.025615080388735025,0.02698362230786531,44.5356346185514,149.4581253869531,193.9937600055045
MAC001383,ToU,ACORN-Q,Adversity,block_105,228,365,59,0.13235317516777867,0.029075939203584016,0.15173750549965181,0.04416474129414739,14.64591257995921,51.89446155088764,66.54037413084686
MAC001437,ToU,ACORN-D,Affluent,block_10,227,365,53,0.1353612096346179,0.0621685819517456,0.07048660740308946,0.0466508453241962,47.92702607094397,24.960737627237588,72.88776369818156
MAC001495,ToU,ACORN-D,Affluent,block_12,224,365,59,0.4549059968801846,0.36647729946364765,0.7486554329903818,0.5671645329651526,64.57365656306492,54.76116359600381,119.33482015906873
MAC001556,ToU,ACORN-E,Affluent,block_41,224,365,59,0.28276046093955076,0.17941290794337003,0.3525644370244341,0.24274084226087855,24.686611364594636,35.2973122410442,59.983923605638836
MAC001715,ToU,ACORN-Q,Adversity,block_107,165,365,59,0.12809037180313773,0.12307272594992018,0.25758350456621004,0.16821266208693583,101.09513380294537,36.677448873102605,137.772582676048
MAC001756,ToU,ACORN-E,Affluent,block_43,213,365,59,0.29978128438971935,0.09714880578112037,0.2541744291952055,0.039787802082120634,15.213376407856197,59.04447639658697,74.25785280444317
