LCLid,node_id,node_type,node_index,node_household_count,stdorToU,Acorn_grouped,file,shift_score
MAC002963,node_tou_6,ToU,6,20,ToU,Adversity,block_96,66.69483785319485
MAC003145,node_tou_6,ToU,6,20,ToU,Comfortable,block_64,98.23428587723522
MAC003272,node_tou_6,ToU,6,20,ToU,Comfortable,block_63,62.95056583980913
MAC003333,node_tou_6,ToU,6,20,ToU,Comfortable,block_60,110.06498678418828
MAC003679,node_tou_6,ToU,6,20,ToU,Comfortable,block_55,60.24410250199489
MAC003738,node_tou_6,ToU,6,20,ToU,Adversity,block_80,59.12770426539285
MAC003769,node_tou_6,ToU,6,20,ToU,Adversity,block_86,84.46190171874599
MAC004144,node_tou_6,ToU,6,20,ToU,Affluent,block_35,562.632649320925
MAC004400,node_tou_6,ToU,6,20,ToU,Comfortable,block_48,236.28903346809258
MAC004506,node_tou_6,ToU,6,20,ToU,Comfortable,block_72,75.84834526755249
MAC005124,node_tou_6,ToU,6,20,ToU,Adversity,block_89,90.65698103838481
MAC005162,node_tou_6,ToU,6,20,ToU,Comfortable,block_46,56.14964058702765
